2019-11-05 13:47:03	0.16 2 LED
2019-11-05 13:47:04	0.10 1 LED
2019-11-05 13:47:05	0.10 1 LED
2019-11-05 13:47:06	0.12 1 LED
2019-11-05 13:47:07	0.12 1 LED
2019-11-05 13:47:08	0.12 1 LED
2019-11-05 13:47:09	0.07 0 LED
2019-11-05 13:47:39	0.26 2 LED
2019-11-05 13:47:40	0.12 1 LED
2019-11-05 13:47:41	0.12 1 LED
2019-11-05 13:47:42	0.10 1 LED
2019-11-05 13:47:43	0.10 1 LED
2019-11-05 13:47:44	0.10 1 LED
2019-11-05 13:47:45	0.12 1 LED
2019-11-05 13:47:46	0.12 1 LED
2019-11-05 13:47:47	0.12 1 LED
2019-11-05 13:47:48	0.12 1 LED
2019-11-05 13:47:49	0.12 1 LED
2019-11-05 13:47:50	0.10 1 LED
2019-11-05 13:47:51	0.12 1 LED
2019-11-05 13:47:52	0.12 1 LED
2019-11-05 13:47:53	0.12 1 LED
2019-11-05 13:47:54	0.12 1 LED
2019-11-05 13:47:55	0.12 1 LED
2019-11-05 13:47:56	0.10 1 LED
2019-11-05 13:47:57	0.12 1 LED
2019-11-05 13:47:58	0.10 1 LED
2019-11-05 13:47:59	0.10 1 LED
2019-11-05 13:48:00	0.12 1 LED
2019-11-05 13:48:01	0.10 1 LED
2019-11-05 13:48:02	0.12 1 LED
2019-11-05 13:48:03	0.10 1 LED
2019-11-05 13:48:04	0.05 0 LED
2019-11-05 13:49:42	0.10 2 LED
2019-11-05 13:49:43	0.09 0 LED
2019-11-05 13:53:37	0.10 2 LED
2019-11-05 13:53:38	0.05 0 LED
2019-11-05 13:59:47	0.16 2 LED
2019-11-05 13:59:48	0.12 1 LED
2019-11-05 13:59:49	0.16 1 LED
2019-11-05 13:59:50	0.05 0 LED
2019-11-05 14:01:56	0.10 2 LED
2019-11-05 14:01:57	0.09 0 LED
2019-11-05 14:04:21	0.10 2 LED
2019-11-05 14:04:22	0.09 0 LED
2019-11-05 14:04:40	0.10 2 LED
2019-11-05 14:04:41	0.09 0 LED
2019-11-05 14:04:42	0.10 2 LED
2019-11-05 14:04:43	0.09 0 LED
2019-11-05 14:05:13	0.12 2 LED
2019-11-05 14:05:14	0.09 0 LED
2019-11-05 14:05:44	0.10 2 LED
2019-11-05 14:05:45	0.09 0 LED
2019-11-05 14:06:34	0.10 2 LED
2019-11-05 14:06:35	0.05 0 LED
2019-11-05 14:07:03	0.10 2 LED
2019-11-05 14:07:04	0.05 0 LED
2019-11-05 14:08:42	0.10 2 LED
2019-11-05 14:08:44	0.05 0 LED
2019-11-05 14:09:32	0.17 2 LED
2019-11-05 14:09:33	0.10 1 LED
2019-11-05 14:09:34	0.10 1 LED
2019-11-05 14:09:35	0.10 1 LED
2019-11-05 14:09:36	0.12 1 LED
2019-11-05 14:09:37	0.10 1 LED
2019-11-05 14:09:38	0.12 1 LED
2019-11-05 14:09:39	0.12 1 LED
2019-11-05 14:09:40	0.12 1 LED
2019-11-05 14:09:41	0.10 1 LED
2019-11-05 14:09:42	0.10 1 LED
2019-11-05 14:09:43	0.10 1 LED
2019-11-05 14:09:44	0.12 1 LED
2019-11-05 14:09:45	0.10 1 LED
2019-11-05 14:09:46	0.12 1 LED
2019-11-05 14:09:47	0.12 1 LED
2019-11-05 14:09:48	0.10 1 LED
2019-11-05 14:09:49	0.10 1 LED
2019-11-05 14:09:50	0.12 1 LED
2019-11-05 14:09:51	0.12 1 LED
2019-11-05 14:09:52	0.10 1 LED
2019-11-05 14:09:53	0.10 1 LED
2019-11-05 14:09:54	0.12 1 LED
2019-11-05 14:09:55	0.12 1 LED
2019-11-05 14:09:56	0.05 0 LED
2019-11-05 14:13:37	0.12 2 LED
2019-11-05 14:13:38	0.05 0 LED
2019-11-05 14:16:02	9.37 2 LED
2019-11-05 14:16:03	5.30 1 LED
2019-11-05 14:16:04	0.76 1 LED
2019-11-05 14:16:05	0.76 1 LED
2019-11-05 14:16:06	0.02 0 LED
2019-11-05 14:16:07	0.12 2 LED
2019-11-05 14:16:08	0.17 1 LED
2019-11-05 14:16:09	0.26 1 LED
2019-11-05 14:16:10	0.16 1 LED
2019-11-05 14:16:11	0.17 1 LED
2019-11-05 14:16:12	0.14 1 LED
2019-11-05 14:16:13	0.07 0 LED
